type_category,specific_type,n_objects,serialization_time,deserialization_time,serialized_size_mb,mem_usage_mb,speed_mb_per_sec
Primitive,integers,100000,0.0028,0.0047,0.66,8.7,234.56
Primitive,floats,100000,0.0292,0.0164,1.73,7.68,59.18
Primitive,strings_short,100000,0.0072,0.0078,2.33,14.25,325.27
Primitive,strings_medium,100000,0.0238,0.0241,10.13,35.63,424.67
Primitive,strings_long,100000,0.0793,0.0732,34.43,110.86,434.36
Primitive,unicode_strings,100000,0.0145,0.0246,7.46,27.86,514.89
Primitive,booleans,100000,0.0016,0.0011,0.62,6.75,394.66
Primitive,nulls,100000,0.0016,0.0012,0.57,6.12,360.2
Special,special_numbers,100000,0.0151,0.0145,0.8,7.23,52.9
Collections,lists_small,100000,0.0172,0.0244,2.49,43.13,145.03
Collections,lists_medium,100000,0.0485,0.0857,10.04,137.84,206.93
Collections,lists_large,100000,0.1284,0.2491,26.49,344.86,206.3
Collections,dicts_small,100000,0.0207,0.0299,2.84,51.61,137.12
Collections,dicts_medium,100000,0.0611,0.0869,10.12,120.29,165.77
Collections,dicts_large,100000,0.1758,0.2611,27.62,315.74,157.15
Complex,mixed_types,100000,0.0101,0.0102,1.43,8.54,140.78
Complex,complex_objects,100000,0.3511,0.3607,36.77,404.38,104.74
